  Time                  I(Rs)                 V(R40:2)              V(C2:+)              
  2.666341018338e-003  1.227814464651e+000  -4.911257858604e+000  -4.325002686344e-001  
  2.667341041227e-003  1.232093247534e+000  -4.928372990137e+000  -4.340681166469e-001  
  2.668341064115e-003  1.236378643343e+000  -4.945514573371e+000  -4.356188276089e-001  
  2.669341087003e-003  1.240611753366e+000  -4.962447013465e+000  -4.371523402983e-001  
  2.670341109891e-003  1.244768515343e+000  -4.979074061374e+000  -4.386685941718e-001  
  2.671341132779e-003  1.248873434484e+000  -4.995493737936e+000  -4.401675293676e-001  
  2.672341155667e-003  1.252940512419e+000  -5.011762049678e+000  -4.416490867075e-001  
  2.673341178556e-003  1.256973792767e+000  -5.027895171068e+000  -4.431132076996e-001  
  2.674341201444e-003  1.260955017507e+000  -5.043820070030e+000  -4.445598345402e-001  
  2.675341224332e-003  1.264889313305e+000  -5.059557253221e+000  -4.459889101163e-001  
  2.676341247220e-003  1.268772842458e+000  -5.075091369834e+000  -4.474003780079e-001  
  2.677341270108e-003  1.272609996252e+000  -5.090439985009e+000  -4.487941824901e-001  
  2.678341292997e-003  1.276380750988e+000  -5.105523003950e+000  -4.501702685354e-001  
  2.679341315885e-003  1.280099861228e+000  -5.120399444912e+000  -4.515285818158e-001  
  2.680341338773e-003  1.283766815761e+000  -5.135067263045e+000  -4.528690687049e-001  
  2.681341361661e-003  1.287401967992e+000  -5.149607871968e+000  -4.541916762802e-001  
  2.682341384549e-003  1.291022931925e+000  -5.164091727700e+000  -4.554963523250e-001  
  2.683341407437e-003  1.294551832198e+000  -5.178207328790e+000  -4.567830453306e-001  
  2.684341430326e-003  1.298028911226e+000  -5.192115644902e+000  -4.580517044982e-001  
  2.685341453214e-003  1.301457401640e+000  -5.205829606561e+000  -4.593022797410e-001  
  2.686341476102e-003  1.304853087552e+000  -5.219412350207e+000  -4.605347216863e-001  
  2.687341498990e-003  1.308185790470e+000  -5.232743161879e+000  -4.617489816770e-001  
  2.688341521878e-003  1.311468097023e+000  -5.245872388091e+000  -4.629450117741e-001  
  2.689341544767e-003  1.314720128199e+000  -5.258880512795e+000  -4.641227647581e-001  
  2.690341567655e-003  1.317888962314e+000  -5.271555849255e+000  -4.652821941314e-001  
  2.691341590543e-003  1.320987257378e+000  -5.283949029511e+000  -4.664232541195e-001  
  2.692341613431e-003  1.324074142862e+000  -5.296296571449e+000  -4.675458996733e-001  
  2.693341636319e-003  1.327145568911e+000  -5.308582275644e+000  -4.686500864705e-001  
